longitude,latitude,junction_type,num_roads
103.966479,1.339463,t_shape,3
103.966309,1.339992,t_shape,3
103.966772,1.339536,t_shape,3
103.977183,1.365255,t_shape,3
103.981497,1.378208,crossing,4
103.980577,1.378807,t_shape,3
103.763215,1.292528,t_shape,3
103.763162,1.292439,t_shape,3
103.763132,1.293031,t_shape,3
103.763101,1.292341,t_shape,3
103.762439,1.290894,t_shape,3
103.766985,1.291258,t_shape,3
103.767184,1.291485,x_shape,4
103.767602,1.291208,t_shape,3
103.767077,1.291111,t_shape,3
103.767334,1.290448,t_shape,3
103.765317,1.294744,t_shape,3
103.770774,1.290268,t_shape,3
103.768038,1.291613,t_shape,3
103.768431,1.292122,x_shape,4
103.771871,1.301127,t_shape,3
103.771922,1.301008,crossing,4
103.77094,1.2964,x_shape,4
103.770912,1.296273,x_shape,4
103.770192,1.297933,t_shape,3
103.770016,1.297942,t_shape,3
103.772067,1.300225,t_shape,3
103.772211,1.300372,other,3
103.772675,1.294258,t_shape,3
103.772147,1.293576,t_shape,3
103.775552,1.293718,t_shape,3
103.775538,1.293408,t_shape,3
103.761836,1.296588,t_shape,3
103.763749,1.29711,crossing,4
103.763872,1.297299,t_shape,3
103.760227,1.298116,t_shape,3
103.761798,1.299014,crossing,4
103.762814,1.297582,t_shape,3
103.762673,1.297138,t_shape,3
103.762698,1.295677,x_shape,4
103.763568,1.296869,x_shape,4
103.762044,1.299621,t_shape,3
103.764169,1.297258,t_shape,3
103.761983,1.298604,other,3
103.764146,1.29582,t_shape,3
103.765134,1.312488,t_shape,3
103.68188,1.320794,t_shape,3
103.674906,1.322493,t_shape,3
103.681749,1.32292,crossing,4
103.676486,1.322285,t_shape,3
103.710002,1.318177,t_shape,3
103.709756,1.31345,t_shape,3
103.709774,1.313681,x_shape,4
103.710183,1.312588,t_shape,3
103.711847,1.314275,t_shape,3
103.709564,1.313766,t_shape,3
103.710069,1.31377,t_shape,3
103.710203,1.312069,t_shape,3
103.709414,1.314075,x_shape,4
103.708069,1.314039,t_shape,3
103.710214,1.314128,x_shape,4
103.70954,1.315389,t_shape,3
103.70984,1.31448,x_shape,4
103.710163,1.318126,t_shape,3
103.710138,1.31433,t_shape,3
103.709502,1.313828,t_shape,3
103.726226,1.325247,t_shape,3
103.725034,1.335849,t_shape,3
103.725019,1.336877,t_shape,3
103.733957,1.32674,t_shape,3
103.745646,1.322864,x_shape,4
103.745622,1.323829,x_shape,4
103.772208,1.340759,t_shape,3
103.772662,1.341292,t_shape,3
103.774584,1.34098,t_shape,3
103.774575,1.34069,x_shape,4
103.772188,1.341955,x_shape,4
103.771188,1.342635,t_shape,3
103.771933,1.345136,t_shape,3
103.847629,1.30374,x_shape,4
103.846816,1.304276,t_shape,3
103.845946,1.304845,t_shape,3
103.799884,1.306731,t_shape,3
103.800329,1.307615,t_shape,3
103.800271,1.307217,t_shape,3
103.801063,1.306668,t_shape,3
103.797733,1.304756,t_shape,3
103.796793,1.304856,t_shape,3
103.675134,1.327712,x_shape,4
103.675077,1.328467,t_shape,3
103.731252,1.306067,x_shape,4
103.730898,1.305472,t_shape,3
103.750148,1.301018,t_shape,3
103.750384,1.300453,t_shape,3
103.749777,1.307517,other,3
103.731928,1.315794,t_shape,3
103.730922,1.313466,t_shape,3
103.732429,1.31405,t_shape,3
103.733017,1.317813,t_shape,3
103.734548,1.317478,t_shape,3
103.755459,1.308176,t_shape,3
103.75557,1.308044,t_shape,3
103.726212,1.314411,t_shape,3
103.725104,1.314742,t_shape,3
103.769481,1.332215,t_shape,3
103.769916,1.331882,t_shape,3
103.789222,1.300424,crossing,4
103.789223,1.302243,t_shape,3
103.845924,1.39052,t_shape,3
103.7635,1.319582,t_shape,3
103.763451,1.318611,t_shape,3
103.762752,1.318616,t_shape,3
103.762641,1.319443,t_shape,3
103.763363,1.318378,t_shape,3
103.762082,1.317421,t_shape,3
103.762203,1.317595,t_shape,3
103.757461,1.31738,t_shape,3
103.754972,1.309398,t_shape,3
103.754666,1.309457,t_shape,3
103.75504,1.308869,t_shape,3
103.756918,1.310682,t_shape,3
103.756792,1.310132,t_shape,3
103.757707,1.311162,t_shape,3
103.764106,1.325866,x_shape,4
103.763613,1.310622,t_shape,3
103.763234,1.310739,t_shape,3
103.763733,1.310519,t_shape,3
103.763533,1.31066,t_shape,3
103.77452,1.299907,t_shape,3
103.770562,1.301616,x_shape,4
103.774667,1.299568,t_shape,3
103.771559,1.30123,t_shape,3
103.771522,1.301134,t_shape,3
103.771603,1.301105,crossing,4
103.771649,1.301197,t_shape,3
103.77654,1.300498,t_shape,3
103.77165,1.302233,t_shape,3
103.772487,1.302662,t_shape,3
103.770737,1.301972,t_shape,3
103.770856,1.301488,t_shape,3
103.775384,1.30063,t_shape,3
103.775009,1.300933,t_shape,3
103.774052,1.301657,t_shape,3
103.771394,1.301293,x_shape,4
103.768227,1.302827,x_shape,4
103.768935,1.30175,t_shape,3
103.769966,1.301788,t_shape,3
103.770046,1.301811,t_shape,3
103.767613,1.302258,other,3
103.768448,1.30232,other,3
103.768254,1.301012,t_shape,3
103.768108,1.301067,t_shape,3
103.767925,1.301236,t_shape,3
103.767988,1.301108,other,3
103.768255,1.302772,x_shape,4
103.768562,1.302274,t_shape,3
103.849159,1.323015,t_shape,3
103.849135,1.322845,t_shape,3
103.846508,1.324361,t_shape,3
103.84737,1.32367,t_shape,3
103.847923,1.323428,x_shape,4
