longitude,latitude,junction_type,num_roads,connected_road_indices
103.846288,1.302859,T Shape,3,"[5322, 5323, 5406]"
103.834724,1.300406,X Shape,4,"[5328, 5331, 5332, 6087]"
103.834876,1.300326,Other,3,"[5329, 5332, 5333]"
103.835036,1.300487,T Shape,3,"[5330, 5333, 5334]"
103.833365,1.302974,T Shape,3,"[5348, 5349, 5353]"
103.832282,1.302966,X Shape,4,"[5349, 5351, 5352, 5353]"
103.82554,1.30473,X Shape,4,"[5355, 5359, 5362, 5389]"
103.825739,1.304643,Other,3,"[5357, 5360, 5361]"
103.831442,1.296131,Other,3,"[5407, 5409, 5410]"
103.831567,1.295962,Other,3,"[5407, 5408, 5410]"
103.827428,1.28727,T Shape,3,"[5434, 5506, 5949]"
103.825947,1.292999,T Shape,3,"[5442, 5445, 5452]"
103.827353,1.294025,T Shape,3,"[5446, 5447, 5449]"
103.827457,1.293857,T Shape,3,"[5446, 5448, 5455]"
103.827488,1.294122,Other,3,"[5447, 5450, 5451]"
103.82761,1.293969,Other,3,"[5448, 5451, 5454]"
103.846356,1.288188,Other,3,"[5539, 5541, 5749]"
103.845378,1.286313,T Shape,3,"[5557, 5558, 5559]"
103.844948,1.285516,T Shape,3,"[5571, 5572, 5573]"
103.820076,1.287472,T Shape,3,"[5587, 5588, 5589]"
103.845978,1.287018,T Shape,3,"[5593, 5594, 5607]"
103.845814,1.287786,T Shape,3,"[5601, 5602, 5603]"
103.849976,1.290349,T Shape,3,"[5630, 5631, 5632]"
103.837497,1.292768,T Shape,3,"[5690, 5826, 6325]"
103.842494,1.287315,T Shape,3,"[5692, 5693, 5695]"
103.836749,1.304006,T Shape,3,"[5699, 5702, 5705]"
103.836665,1.304047,T Shape,3,"[5704, 5705, 5706]"
103.837526,1.289022,T Shape,3,"[5738, 5739, 5741]"
103.84259,1.295728,T Shape,3,"[5772, 5774, 5781]"
103.821812,1.293688,T Shape,3,"[5784, 5785, 5786]"
103.836794,1.291942,Other,3,"[5787, 5788, 5789]"
103.83673,1.291873,T Shape,3,"[5787, 5788, 6118]"
103.833743,1.297311,T Shape,3,"[5793, 6336, 6337]"
103.833539,1.297467,T Shape,3,"[5795, 5796, 5797]"
103.839855,1.294902,T Shape,3,"[5798, 5799, 5800]"
103.840936,1.294398,T Shape,3,"[5801, 5802, 5803]"
103.837915,1.294094,T Shape,3,"[5804, 5805, 5806]"
103.830927,1.295438,T Shape,3,"[5813, 5814, 5816]"
103.831109,1.295522,T Shape,3,"[5814, 5816, 5817]"
103.837426,1.292814,T Shape,3,"[5826, 6319, 6325]"
103.830014,1.28719,T Shape,3,"[5831, 5832, 5833]"
103.837515,1.303933,T Shape,3,"[5838, 5839, 5940]"
103.830221,1.300678,T Shape,3,"[5869, 5870, 5871]"
103.830138,1.300796,T Shape,3,"[5872, 5873, 5874]"
103.8452,1.287711,X Shape,4,"[5877, 5878, 5879, 5880]"
103.837433,1.294326,T Shape,3,"[5913, 5914, 5915]"
103.847624,1.286443,T Shape,3,"[5932, 5935, 5936]"
103.840638,1.304558,T Shape,3,"[5952, 6267, 6282]"
103.846448,1.29964,T Shape,3,"[5960, 6315, 6343]"
103.831193,1.297408,Other,3,"[6078, 6079, 6079]"
103.82058,1.29307,T Shape,3,"[6095, 6096, 6098]"
103.820179,1.293288,T Shape,3,"[6097, 6098, 6099]"
103.833119,1.299203,Other,3,"[6104, 6112, 6116]"
103.833108,1.29909,T Shape,3,"[6105, 6112, 6113]"
103.832885,1.299151,T Shape,3,"[6106, 6110, 6114]"
