id,type,latitude,longitude,message
871,Roadwork,1.318751189592348,103.87531521002452,(30/3)0:14 Roadworks on KPE (towards ECP) at Sims Avenue Exit. Sims Avenue Exit closed.
872,Roadwork,1.287926423565006,103.8409995752951,(29/3)23:46 Roadworks in CTE Tunnel (towards SLE) before Merchant Rd Exit. Avoid lane 3.
873,Roadwork,1.3153229777687347,103.75952577193397,(29/3)23:33 Roadworks on AYE (towards MCE) after Clementi Ave 6 Exit. Avoid lane 4.
874,Roadwork,1.365246648436681,103.85994244835538,(29/3)23:17 Roadworks on CTE (towards AYE) before AMK Ave 1 Exit. Avoid lane 4.
875,Roadwork,1.272800559809362,103.83118625580268,(29/3)22:58 Roadworks on AYE (towards Tuas) at Keppel Rd Entrance.
876,Roadwork,1.347705905966715,103.96619225544102,(29/3)22:02 Roadworks on PIE (towards Tuas) at TPE(SLE) Exit.
877,Roadwork,1.3581178643584852,103.7132378988984,(29/3)21:59 Roadworks on PIE (towards Tuas) before KJE. Avoid lane 4.
878,Roadwork,1.3240577972964958,103.7437846686779,(29/3)20:21 Roadworks on AYE (towards MCE) at Jurong Town Hall Rd Exit.
879,Roadwork,1.3523143989718844,103.96370693174366,(29/3)20:05 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
880,Roadwork,1.3559792459544462,103.96318378654888,(29/3)20:05 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lanes 3 and 4.
881,Roadwork,1.3750144316027595,103.90990327970776,(30/3)1:45 Roadworks on KPE (towards ECP) at Buangkok Drive Entrance.
882,Roadwork,1.288381115417401,103.84466795978138,(30/3)1:31 Roadworks in CTE Tunnel (towards AYE) at Merchant Road Entrance. Merchant Road Entrance closed.
883,Roadwork,1.2961491512696068,103.84395759662964,(30/3)1:26 Roadworks in CTE Tunnel (towards SLE) after Merchant Rd Exit. Avoid lanes 2 and 3.
884,Roadwork,1.318751189592348,103.87531521002452,(30/3)0:14 Roadworks on KPE (towards ECP) at Sims Avenue Exit. Sims Avenue Exit closed.
885,Roadwork,1.287926423565006,103.8409995752951,(29/3)23:46 Roadworks in CTE Tunnel (towards SLE) before Merchant Rd Exit. Avoid lane 3.
886,Roadwork,1.3153229777687347,103.75952577193397,(29/3)23:33 Roadworks on AYE (towards MCE) after Clementi Ave 6 Exit. Avoid lane 4.
887,Roadwork,1.365246648436681,103.85994244835538,(29/3)23:17 Roadworks on CTE (towards AYE) before AMK Ave 1 Exit. Avoid lane 4.
888,Roadwork,1.272800559809362,103.83118625580268,(29/3)22:58 Roadworks on AYE (towards Tuas) at Keppel Rd Entrance.
889,Roadwork,1.347705905966715,103.96619225544102,(29/3)22:02 Roadworks on PIE (towards Tuas) at TPE(SLE) Exit.
890,Roadwork,1.3581178643584852,103.7132378988984,(29/3)21:59 Roadworks on PIE (towards Tuas) before KJE. Avoid lane 4.
891,Roadwork,1.3240577972964958,103.7437846686779,(29/3)20:21 Roadworks on AYE (towards MCE) at Jurong Town Hall Rd Exit.
892,Roadwork,1.3523143989718844,103.96370693174366,(29/3)20:05 Roadworks on PIE (towards Changi Airport) at TPE Exit. TPE Exit closed.
893,Roadwork,1.3559792459544462,103.96318378654888,(29/3)20:05 Roadworks on TPE (towards SLE) before PIE Entrance. Avoid lanes 3 and 4.
894,Roadwork,1.3808284693498774,103.91803130600336,(30/3)11:17 Roadworks on TPE (towards SLE) at Halus Link Exit.
895,Heavy Traffic,1.3457839187112204,103.85958730415707,(30/3)11:10 Heavy Traffic on CTE (towards AYE) before PIE(Changi) Exit
896,Roadwork,1.3637301885468551,103.95792544285436,(30/3)10:44 Roadworks on TPE (towards PIE) at Loyang Ave Exit.
